100 4522
98 30 508
98 43 6518
89 88 3473
18 24 8151
10 55 10
25 85 902
91 51 4627
21 71 1300
47 68 667
56 29 5373
82 35 6485
29 83 217
86 2 3951
14 88 4366
76 54 2473
7 79 6439
8 46 5779
96 83 7681
64 67 2568
97 90 3382
93 90 4156
63 49 8451
82 33 4524
97 6 3737
17 71 1343
42 43 7665
72 29 5842
8 97 4567
84 70 2957
98 19 3721
39 15 4195
66 73 2455
37 67 6041
70 26 3609
69 13 3912
62 45 7161
30 76 6122
62 91 1529
76 29 3065
61 41 6512
41 40 8320
48 46 1901
35 45 9597
4 67 449
64 44 5149
97 40 3914
88 79 3613
38 44 8825
68 35 8509
14 30 5279
41 59 4123
32 19 3121
51 88 2510
93 80 5930
17 63 4480
44 87 10
40 82 5175
72 52 9756
83 38 5507
48 58 8638
23 25 5179
8 86 4049
44 62 5719
67 62 95
77 45 7808
35 68 3735
16 55 2120
77 49 9092
25 16 7413
12 11 89
56 55 5939
96 93 6278
51 57 5469
32 49 5731
9 95 1260
75 17 8659
40 90 9574
55 48 6778
81 82 3652
17 28 2682
8 28 401
28 95 1157
56 44 2045
21 27 2974
28 29 3232
96 41 3811
66 52 7219
6 35 5862
69 40 8316
38 54 5041
63 64 4011
73 36 5083
98 55 9035
38 97 301
8 23 4743
90 23 3436
70 99 94
4 3 5626
64 59 2898
97 8 9050
48 87 7495
98 15 3168
26 63 5078
76 13 7887
79 67 7530
24 35 8448
44 38 1407
54 20 2989
90 28 2933
74 89 6536
9 80 6319
51 73 616
65 5 2988
25 70 6772
53 1 9147
25 94 7660
19 80 5712
86 48 5284
27 3 3501
70 54 6604
83 18 4016
63 23 9076
3 38 6701
66 51 3763
86 21 2477
47 16 103
93 66 8486
9 94 5669
36 76 1171
27 84 2806
36 6 2358
73 79 4623
94 17 1727
37 68 5718
52 60 6535
6 91 3584
39 98 9766
3 69 7865
5 31 241
37 41 4162
33 11 712
28 17 281
87 71 4928
4 88 4114
87 59 2014
23 84 278
18 85 6619
84 42 2653
82 12 4003
74 45 820
24 8 9641
68 34 9385
50 61 7530
60 98 7282
96 29 8245
76 99 7426
18 63 7072
55 15 8040
92 90 8082
38 16 9691
33 0 2753
68 46 4538
71 82 7378
76 71 1376
7 53 5805
0 26 9593
78 0 84
89 71 1771
5 65 2598
74 44 9475
2 20 1051
35 26 5941
37 65 6339
16 71 6719
53 35 890
75 5 8370
91 77 4224
55 45 4794
65 90 8461
50 6 3500
89 96 2410
22 59 8185
82 84 878
79 41 7727
57 93 7277
53 45 8907
26 61 286
75 24 2454
18 79 1192
87 43 8136
47 67 8636
2 56 4306
12 3 2749
63 4 1712
47 92 1714
29 37 6889
50 62 1468
58 82 525
86 0 6546
44 95 7770
52 38 7825
56 75 5891
50 73 7622
85 55 6369
85 84 210
93 30 8238
20 93 9723
19 34 5956
23 33 8238
70 52 2091
43 65 7669
33 20 4771
78 11 2170
95 28 689
10 4 2449
59 92 5341
91 28 5592
69 74 4778
89 17 7744
66 57 5719
42 46 3436
98 7 7673
24 29 1313
20 11 8730
26 71 8
49 55 4449
23 79 2450
26 91 633
43 55 4869
49 6 565
27 46 2964
77 1 5291
2 14 9490
80 30 2927
27 43 2389
86 66 3828
71 73 4885
27 71 664
57 27 5848
80 82 9602
25 92 4479
16 72 2553
81 70 7012
50 41 3312
50 25 1313
70 35 9681
81 19 3269
40 38 6893
76 74 8870
0 24 4320
70 45 8799
70 1 7761
2 65 3891
37 30 1607
78 62 6417
57 36 7381
87 38 6130
33 94 9678
23 63 4798
52 41 2123
73 50 5828
