(17012.199,-34747.188)
(410.597,2189.056)
(4164.538,6770.458)
(2205.615,1638.476)
(4123.793,385.684)
(702.886,1719.290)
(5227.532,-1291.394)
(1257.617,540.037)
(-1305.222,-1131.929)
(100.480,3315.907)
(2454.499,497.334)
(-1568.649,-1499.628)
(4446.623,1059.085)
(2428.239,179.505)
(649.909,3225.543)
(-69.530,3170.437)
(-1581.805,2785.870)
(-1680.832,-3491.985)
(-3117.296,-2125.644)
(2661.879,2803.509)
(2225.128,209.122)
(-685.166,-313.424)
(1710.937,-1797.999)
(-1607.723,5913.734)
(-1587.926,-4488.192)
(-50.586,-567.031)
(3647.893,655.128)
(-1626.120,-1348.960)
(3605.986,750.371)
(1317.408,1494.227)
(-1323.806,3780.924)
(2780.097,1695.346)
(-4571.198,32.872)
(-118.615,-178.268)
(-1817.236,362.961)
(155.789,-1144.537)
(-1674.585,275.662)
(2605.244,-2075.211)
(-577.296,5588.520)
(1258.219,-2199.545)
(-1248.210,-1860.155)
(-3240.088,-761.819)
(1715.160,1344.460)
(837.977,-50.550)
(1958.969,2621.542)
(-3569.326,743.705)
(1512.256,-2343.678)
(-2891.656,-1805.450)
(3466.411,3156.452)
(-2775.490,992.463)
(-2226.955,1042.481)
(-217.813,-2088.846)
(-3427.942,-3385.665)
(2050.893,1654.461)
(-2051.107,-1340.461)
(2282.050,-2657.790)
(265.600,-836.981)
(-1011.609,-1388.953)
(1745.081,-2925.355)
(1711.224,2166.661)
(794.038,1622.037)
(-2059.329,197.744)
(3103.945,546.156)
(-594.858,-1629.691)
(227.969,-4378.630)
(-2721.562,3702.571)
(1295.937,-1206.616)
(-1137.852,820.353)
(2218.429,115.043)
(1938.288,-4857.187)
(-1397.662,-2072.873)
(2345.332,1187.253)
(5991.114,4.020)
(-1477.523,3545.911)
(-614.267,58.823)
(-1084.982,2018.164)
(-1202.173,104.202)
(888.089,1044.184)
(2126.314,-6895.204)
(2387.427,2153.660)
(-3928.119,1051.589)
(874.470,-1633.041)
(713.742,815.848)
(3709.727,4764.479)
(1439.331,-4454.685)
(-1600.182,-1629.927)
(1722.832,2290.843)
(1078.078,1054.877)
(-622.531,-206.887)
(1338.243,401.438)
(802.350,3682.144)
(450.456,130.678)
(1246.094,-48.607)
(-2226.380,595.025)
(663.334,-1681.641)
(-789.402,1686.900)
(1966.154,2107.071)
(584.437,-2263.252)
(-1092.565,2129.030)
(2153.719,167.092)
(2015.147,4198.417)
(-3588.562,266.048)
(1053.330,2397.508)
(-3480.018,-1985.206)
(-3626.470,-1434.338)
(175.686,585.046)
(-169.388,-1519.757)
(6303.919,-806.923)
(-71.762,1588.192)
(-399.765,-541.936)
(1265.553,-79.263)
(-6361.498,2113.766)
(2397.711,883.191)
(2810.966,1290.566)
(-2043.940,-1406.469)
(-258.129,419.175)
(-963.004,-1278.390)
(391.354,-1878.942)
(662.128,-2311.690)
(1713.298,3019.532)
(-790.909,1535.866)
(5123.785,-965.270)
(321.146,567.719)
(1193.184,2147.965)
(-2755.307,2404.592)
(-3792.826,-633.783)
(3542.617,-1392.492)
(3187.302,2710.557)
(-214.905,1163.280)
(-2132.020,1854.313)
(-3672.087,-3004.708)
(4810.684,2762.392)
(2536.831,475.955)
(-1525.052,2836.146)
(93.727,3079.674)
(-3665.791,530.934)
(-1101.516,568.081)
(-1654.381,3930.929)
(-3956.577,-3308.021)
(363.215,-769.503)
(840.548,-2110.621)
(1704.061,2408.874)
(-5.163,-1173.455)
(-4040.505,666.932)
(-3348.176,1532.131)
(4344.258,1474.791)
(-765.078,-1243.543)
(-646.555,-1883.485)
(-1331.502,1541.989)
(-4888.720,-1804.294)
(999.673,-1202.383)
(291.004,-718.786)
(2602.587,-1948.402)
(3046.456,-455.123)
(-2366.733,203.766)
(4553.180,378.577)
(671.018,3098.414)
(-3254.833,-301.133)
(2471.723,4480.690)
(-2216.623,-1921.398)
(61.992,-1714.824)
(523.447,2810.025)
(-261.692,116.810)
(3594.590,2339.414)
(-297.502,2285.264)
(-2943.403,1438.383)
(-4509.701,1208.434)
(-101.708,-494.416)
(-1497.428,1630.995)
(-735.220,-201.901)
(-979.739,1182.810)
(714.671,-1531.881)
(-217.661,-5751.199)
(-2953.784,6309.867)
(-2039.208,-141.758)
(1178.562,1898.582)
(1178.713,801.864)
(-3220.827,1542.908)
(-2652.039,-6791.866)
(-1576.507,-21.444)
(-813.313,979.601)
(2178.508,2954.579)
(922.965,-2623.740)
(-70.770,2635.863)
(-6908.317,157.279)
(-1796.816,736.521)
(2404.855,-2140.167)
(-1873.141,-4653.986)
(-2296.410,1571.141)
(150.515,-834.080)
(-2316.369,1476.601)
(2893.601,511.663)
(-891.575,-4404.810)
(-1306.341,-2203.297)
(-2391.918,1222.036)
(2762.250,525.046)
(-1169.076,240.726)
(-2439.005,3127.551)
(-1056.010,-5394.369)
(582.766,-1521.074)
(-4007.318,-2034.214)
(732.826,316.310)
(3541.574,-2844.967)
(-2384.410,527.718)
(1304.399,-2384.500)
(-478.561,-2602.585)
(2354.631,360.034)
(3970.211,76.106)
(-3931.512,1487.586)
(2422.590,675.720)
(-1327.092,-2817.795)
(2924.054,2162.742)
(-815.887,-128.466)
(-1608.803,978.837)
(-1619.631,1526.911)
(1370.860,-2125.133)
(-1524.113,-989.006)
(-1208.144,-663.026)
(-116.747,1883.025)
(1407.672,-5770.331)
(-45.702,1729.019)
(-666.122,-539.793)
(2864.406,-181.702)
(-369.458,-707.342)
(1661.148,1121.325)
(-1272.505,454.755)
(812.019,2164.580)
(-2062.642,-159.374)
(-1756.606,-726.115)
(2509.288,-42.979)
(-3408.026,350.869)
(-1944.903,-2805.291)
(1922.499,-4585.635)
(2506.342,6941.796)
(-3058.595,-428.330)
(1170.051,-2800.780)
(-358.720,-2774.378)
(-2108.302,-22.242)
(2210.035,-916.291)
(1701.003,-1263.431)
(2374.833,3082.094)
(-622.181,3651.821)
(-622.501,1865.472)
(-2420.154,-3849.583)
(-2932.456,-258.317)
(554.269,-2801.317)
(-1656.534,1640.310)
(-478.196,2182.746)
(3291.251,-778.037)
(-1600.976,399.144)
(-2830.030,-2032.784)
(1138.875,516.688)
(-5385.045,-2900.108)
(-4832.810,-752.263)
(-6821.270,3596.144)
(-4885.169,597.686)
(58850.429,-128197.081)
(5273.615,29080.730)
(11280.179,18298.982)
(13649.545,5319.093)
(12293.010,-2060.744)
(6586.520,-11554.059)
(1648.887,4169.042)
(2173.455,6415.876)
(3826.902,4598.622)
(12368.738,3854.818)
(1124.385,-6548.067)
(2130.387,2991.058)
(2525.885,564.931)
(698.765,7764.580)
(2510.634,3525.996)
(7692.851,-4905.150)
(2340.444,-310.407)
(-1707.359,70.475)
(5722.389,7481.119)
(7358.572,3888.004)
(255.232,2395.437)
(4797.297,5574.369)
(-3606.204,5288.495)
(-7809.859,2948.902)
(1976.647,4234.700)
(205.559,-4897.129)
(-4961.330,5531.178)
(-3065.751,-7881.917)
(8352.662,-7561.931)
(5365.148,7821.407)
(1484.405,8565.213)
(870.909,-525.753)
(-9608.977,4216.272)
(-1623.662,-4207.828)
(6674.456,-6536.997)
(2413.687,6411.101)
(-2892.004,-1481.282)
(4082.170,-365.769)
(4687.970,6524.895)
(-908.568,-2348.022)
(-87.820,1843.661)
(-1219.735,4371.802)
(764.019,9138.008)
(-880.090,-6558.089)
(-7573.022,3517.395)
(1630.516,-6317.393)
(-1324.235,3408.875)
(403.261,-1506.728)
(7142.074,-143.380)
(-5615.402,1176.663)
(-1024.572,-1619.981)
(2142.890,2960.426)
(-85.611,1847.598)
(-9711.429,-3568.840)
(4738.866,-4288.335)
(3537.354,-7526.291)
(2361.237,4177.301)
(785.417,-1509.554)
(4299.140,1652.575)
(565.682,-1933.770)
(4177.205,-301.514)
(-1335.568,1592.019)
(2101.318,1208.501)
(1753.119,-146.440)
(5787.349,-4964.460)
(-1058.424,-9.540)
(9353.944,11005.991)
(3929.167,-3018.720)
(-1874.225,5591.859)
(193.109,5258.874)
(-1164.574,3544.079)
(402.755,2166.403)
(2902.632,343.859)
(-2639.475,6836.109)
(-10315.378,4087.153)
(-322.991,-7605.075)
(-267.583,1144.471)
(3559.075,-1827.780)
(1059.504,-867.805)
(-2224.169,22.120)
(355.957,287.569)
(1161.270,1194.853)
(9177.832,-1993.178)
(1328.570,5337.743)
(-2647.801,-880.116)
(804.092,8531.243)
(2149.169,6580.572)
(-10172.002,3454.537)
(1739.137,-2828.997)
(-6923.989,-5026.023)
(-5827.119,-1050.582)
(8009.953,674.163)
(3766.185,1394.841)
(917.516,-1180.781)
(-9204.109,4235.275)
(-1985.047,-2320.053)
(3219.154,-4792.415)
(52.330,146.556)
(5696.014,6806.388)
(-1459.096,-11117.096)
(-6141.243,6136.389)
(1606.034,1995.420)
(5132.163,-8943.577)
(7622.031,4945.967)
(-6444.888,3776.560)
(1086.799,-5474.723)
(1984.668,6721.937)
(5099.760,138.793)
(-2050.083,607.773)
(-3460.600,8168.536)
(1347.297,-7116.653)
(-244.870,3759.869)
(-3497.129,4885.172)
(-186.211,-3735.140)
(-6013.119,-1255.723)
(6206.443,-2558.822)
(-630.084,-3546.733)
(1296.310,672.509)
(1400.172,-732.924)
(7847.692,78.769)
(1067.618,10317.775)
(-1605.841,-9037.403)
(-826.169,5786.885)
(1905.695,6537.311)
(846.102,-6312.941)
(4392.173,8224.752)
(-1536.878,1648.417)
(-8593.792,6528.701)
(564.814,-5711.852)
(-8216.365,-1396.531)
(11199.578,321.146)
(940.245,-1552.101)
(-1482.548,1916.999)
(-3867.696,2444.562)
(2695.455,-1275.179)
(2838.267,9396.816)
(-3549.647,-6313.906)
(-5501.342,-2951.317)
(5069.146,-1509.451)
(-213.022,6927.891)
(7230.695,-2687.310)
(-8011.724,-97.272)
(3822.535,-889.334)
(7164.972,276.704)
(-2033.018,1790.557)
(5338.729,11173.482)
(-6278.722,-1108.551)
(2608.915,808.273)
(3601.050,2795.887)
(-7646.225,2935.602)
(774.699,10167.268)
(-1483.458,-1707.772)
(-7834.949,689.090)
(-5167.363,-882.265)
(6375.821,-4997.873)
(-7863.112,1739.859)
(3818.293,5937.736)
(692.552,-6880.261)
(-2608.181,6254.795)
(-6666.204,-708.890)
(1075.691,-4299.046)
(1974.001,838.390)
(-2141.274,1360.296)
(-1496.109,-2278.925)
(201.742,-130.307)
(7334.653,879.092)
(-9684.740,-4067.790)
(5241.307,11613.902)
(-2343.145,-5530.554)
(-1696.279,3046.932)
(-2397.877,-5287.704)
(1885.121,1923.515)
(-1077.664,1596.741)
(-3982.462,-689.867)
(6304.734,2413.844)
(-3630.271,-4738.928)
(395.971,192.174)
(-5184.643,6836.878)
(3323.775,-5029.605)
(942.943,-1086.159)
(282.649,-577.918)
(940.116,-190.054)
(3806.415,8632.166)
(-5776.275,3437.544)
(-2444.498,-2563.029)
(-6482.055,-1192.544)
(-2011.763,289.595)
(7227.440,-7499.201)
(3367.334,2711.335)
(-8732.281,6179.062)
(58.498,-2873.745)
(7751.343,1443.844)
(-8766.200,2197.929)
(1340.480,-1387.119)
(123.767,-1988.964)
(-9675.407,5291.343)
(10408.218,724.232)
(-3238.059,-4050.121)
(-7812.932,2331.681)
(2039.850,359.498)
(-2684.949,6832.408)
(-7004.301,-11885.361)
(2585.440,4530.343)
(400.299,327.330)
(-4828.675,-6158.114)
(-7584.171,3597.937)
(905.743,-4133.257)
(3064.931,-5735.480)
(219.256,-3071.671)
(-2804.512,-2002.868)
(9.556,6259.407)
(913.078,-7030.328)
(-4309.597,-1838.311)
(1440.645,-8270.397)
(3835.413,-2525.224)
(5777.739,4273.925)
(4258.777,-1649.370)
(-5030.581,4031.868)
(-3696.843,-511.312)
(3543.857,-1845.314)
(-374.144,-1835.763)
(-3779.984,733.081)
(-1371.246,-3751.955)
(-872.877,-3431.976)
(3342.849,-3058.286)
(-554.796,-14036.793)
(10526.105,4789.919)
(6601.611,8181.739)
(-1476.257,-8260.524)
(3633.304,850.560)
(-867.205,8156.182)
(1154.994,176.249)
(3046.087,-3393.512)
(-1707.975,2193.076)
(4872.492,-8356.758)
(-2062.035,4722.064)
(8448.420,7182.042)
(3175.791,2793.414)
(-444.765,-2757.507)
(-3339.579,3716.108)
(-7996.868,2822.496)
(8093.931,4865.683)
(-624.729,-2133.749)
(-3663.109,-4016.479)
(-3450.996,702.679)
(-808.628,-5120.908)
(7353.705,7932.500)
(3985.041,-5625.692)
(-2518.204,3025.170)
(1375.364,747.489)
(-2004.817,3646.971)
(-2540.932,-671.336)
(1948.733,2451.733)
(1672.018,-3883.543)
(-2555.928,-6429.303)
(6688.052,6946.794)
(-1893.271,1885.711)
(4619.872,-859.260)
(983.018,4569.414)
(317.628,2619.877)
(-366.440,4892.948)
